lat,lon,Date,search_state,species
0.565191,34.386713,2021-05-18,Bungoma County,FAW
0.544665,34.262594,2019-08-23,Busia County,FAW
0.9087637,34.9353294,2018-07-07,Trans-Nzoia County,FAW
0.6332,34.26977,2019-08-20,Busia County,FAW
-3.274112,40.044564,2021-05-13,Kilifi County,FAW
0.536165,34.25831,2019-08-30,Busia County,FAW
-3.893837,39.764615,2021-07-29,Kilifi County,FAW
0.559707,34.285352,2019-05-22,Busia County,FAW
0.645349,34.28713,2019-05-28,Busia County,FAW
-3.893795,39.764477,2021-08-05,Kilifi County,FAW
0.544665,34.262594,2019-08-23,Busia County,FAW
0.499269,34.288866,2019-09-17,Busia County,FAW
0.525567,34.233878,2020-11-04,Busia County,FAW
0.586881,34.330863,2019-05-22,Busia County,FAW
-0.2852298,36.0696643,2019-02-14,Nakuru,FAW
0.695431,34.383592,2019-08-23,Busia County,FAW
-1.5681674,37.0770898,2019-04-03,Machakos County,FAW
0.40909,34.135805,2021-05-25,Busia County,FAW
0.554232,34.175725,2021-07-06,Busia County,FAW
-0.285589,36.066156,2019-12-17,Nakuru,FAW
-0.7584509,35.4451681,2018-09-07,Bomet,FAW
0.499269,34.288866,2019-10-01,Busia County,FAW
