,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
2064,POINT (37.5007573194873 0.005825038078017),0,12.674999237060547,113.41666412353516,18.17500114440918,7.150000095367432,1.2041667699813843,2.258333444595337,test
2065,POINT (38.42208233298618 3.370314182905658),0,25.375001907348633,32.16666793823242,30.93333625793457,19.783334732055664,1.9250001907348633,2.433333396911621,test
2066,POINT (35.70132499161093 1.651101349162807),0,21.89166831970215,51.75,28.16666603088379,15.616667747497559,1.6700000762939453,2.049999952316284,test
2067,POINT (38.37610785523321 3.159528345042615),0,25.850004196166992,29.0,31.350004196166992,20.34166717529297,1.9516668319702148,2.441666603088379,test
2068,POINT (37.727103031654174 3.490895191817805),0,22.224998474121094,32.16666793823242,27.78333282470703,16.69999885559082,1.6591664552688599,2.299999952316284,test
2069,POINT (40.170155463667754 3.322356328056537),0,25.775001525878906,26.41666603088379,31.54166603088379,20.0,1.9558333158493042,2.691666603088379,test
2070,POINT (35.952906786443684 -0.515352819162562),0,13.283332824707031,86.75,19.233333587646484,7.349998950958252,1.1633332967758179,2.200000047683716,test
2071,POINT (35.69209449270808 2.53964481177261),0,27.01666831970215,29.25,34.216670989990234,19.808334350585938,1.9291667938232422,2.4166667461395264,test
2072,POINT (35.525717323801366 -1.798360680388349),0,17.60833168029785,69.58333587646484,23.724998474121094,11.466667175292969,1.3891667127609253,2.6500000953674316,test
2073,POINT (38.44625142019975 -0.024847777061734),0,25.308332443237305,35.33333206176758,30.575002670288086,20.024999618530273,2.0874998569488525,2.549999952316284,test
2074,POINT (40.04056520026203 -2.037409787324993),0,27.266664505004883,56.16666793823242,31.508331298828125,23.008333206176758,2.492500066757202,2.5250000953674316,test
2075,POINT (41.27802509175313 -1.850607321316887),0,26.866662979125977,72.83333587646484,30.0,23.758333206176758,2.7325000762939453,3.683333396911621,test
2076,POINT (40.61608822695621 2.680397763428793),0,27.008333206176758,27.16666603088379,32.70000076293945,21.30000114440918,2.070833444595337,2.8000001907348633,test
2077,POINT (39.025127765709115 -3.559326774505424),0,24.416664123535156,59.75,29.391664505004883,19.42500114440918,2.2299997806549072,2.7833335399627686,test
2078,POINT (38.32337628843734 1.905121448849254),0,26.758333206176758,27.91666603088379,32.766666412353516,20.733333587646484,2.052500009536743,2.2750000953674316,test
2079,POINT (40.08554140424665 1.944010001374216),0,27.899995803833008,28.33333396911621,33.34166717529297,22.424997329711914,2.107499837875366,2.866666555404663,test
2080,POINT (37.683534867058526 2.444097303265941),0,26.558332443237305,22.0,32.4083366394043,20.70833396911621,1.995833396911621,2.2833335399627686,test
2081,POINT (40.049475984949 -2.996073700381837),0,25.08333396911621,83.83333587646484,28.941665649414062,21.19999885559082,2.5116665363311768,3.0416667461395264,test
2082,POINT (39.382284251960094 -3.000748497828969),0,25.79166603088379,63.33333206176758,30.508333206176758,21.099998474121094,2.3316667079925537,2.5333330631256104,test
2083,POINT (34.90380566168142 2.610738745480893),0,23.57499885559082,47.58333206176758,29.866668701171875,17.29166603088379,1.7758334875106812,2.125,test
2084,POINT (39.257314218718534 -1.835799832105515),0,26.600004196166992,50.66666793823242,31.424997329711914,21.741666793823242,2.2950000762939453,2.4583332538604736,test
2085,POINT (40.47372928214259 2.910316116422183),0,26.649999618530273,26.75,32.499996185302734,20.799999237060547,2.0316665172576904,2.8416669368743896,test
2086,POINT (35.503586785552635 2.282151436055829),0,25.991666793823242,34.33333206176758,32.80833053588867,19.15833282470703,1.9208334684371948,2.2916667461395264,test
2087,POINT (35.78114148989924 -1.204687185788573),0,18.0,64.25,24.758331298828125,11.225001335144043,1.4108333587646484,2.5250000953674316,test
2088,POINT (35.087661443661226 1.977406907616411),0,20.09166717529297,70.16666412353516,26.058332443237305,14.108332633972168,1.5716665983200073,2.4000000953674316,test
2089,POINT (35.433030897440595 -0.012505052028964),0,14.708333015441895,109.75,20.41666603088379,9.008333206176758,1.221666693687439,2.2666666507720947,test
2090,POINT (36.85856366987502 -2.112004525434047),0,19.95833396911621,43.5,25.433334350585938,14.533333778381348,1.6091667413711548,2.9833333492279053,test
2091,POINT (40.042677439249594 -2.952277914304655),0,25.149999618530273,81.75,28.98333168029785,21.291667938232422,2.507499933242798,3.0416667461395264,test
2092,POINT (37.92922144952562 -3.279942466076227),0,22.16666603088379,60.5,27.82499885559082,16.474998474121094,1.8958333730697632,3.1499998569488525,test
2093,POINT (38.52501640597809 -3.839638117279111),0,23.566667556762695,57.25,28.92500114440918,18.216665267944336,2.0891668796539307,2.9833333492279053,test
2094,POINT (38.37896278224472 3.189545475771976),0,25.808334350585938,29.75,31.42500114440918,20.16666603088379,1.9450000524520874,2.441666603088379,test
2095,POINT (34.41965456383993 0.287747373868189),0,22.05000114440918,149.5833282470703,28.183332443237305,15.941666603088379,1.840000033378601,2.4250001907348633,test
2096,POINT (35.2381767915563 1.269567356182434),0,15.683333396911621,91.58333587646484,21.625,9.716666221618652,1.2658333778381348,2.1000001430511475,test
2097,POINT (37.827718327967744 1.736192296446589),0,25.624998092651367,27.58333396911621,31.599998474121094,19.65833282470703,1.9691667556762695,2.433333396911621,test
2098,POINT (38.910305671669086 -2.211213119270849),0,25.791664123535156,58.25,30.51666831970215,21.083332061767578,2.2216665744781494,2.558333158493042,test
2099,POINT (35.525717323801366 -1.798360680388349),0,17.60833168029785,69.58333587646484,23.724998474121094,11.466667175292969,1.3891667127609253,2.6500000953674316,test
2100,POINT (38.64211182254246 -2.530367456234254),0,25.116666793823242,66.41666412353516,30.01666831970215,20.24166488647461,2.1575000286102295,2.5833334922790527,test
2101,POINT (39.246116038919894 -2.802940680326392),0,26.04166603088379,63.5,30.98332977294922,21.08333396911621,2.2983334064483643,2.5,test
